CustomerID,Gender,Age,Tenure,MonthlyCharges,TotalCharges,ContractType,InternetService,PaymentMethod,SupportTickets,AverageUsageHours,Churn
CUST-00021,Female,36,61,79.07,4828.01,Month-to-month,Fiber optic,Bank transfer,0,260.6025821360147,Yes
CUST-00022,Male,80,3,61.4,159.3,Month-to-month,DSL,Electronic check,2,220.7891880219063,Yes
CUST-00023,Female,55,8,81.68,670.76,Two year,Fiber optic,Mailed check,4,128.59878631064876,Yes
CUST-00024,Female,20,6,21.36,115.55,Two year,No,Electronic check,0,190.8185737240316,Yes
CUST-00025,Female,76,50,59.49,2991.62,Month-to-month,DSL,Electronic check,1,85.35682610414248,Yes
CUST-00026,Female,22,70,66.59,4666.42,Two year,Fiber optic,Bank transfer,1,101.36516608228243,No
CUST-00027,Female,30,39,21.37,821.17,Month-to-month,No,Electronic check,0,128.15217283009508,No
CUST-00028,Female,64,10,49.6,489.73,Month-to-month,DSL,Bank transfer,1,235.58451890324375,No
CUST-00029,Female,63,9,86.49,785.25,Two year,Fiber optic,Credit card,1,23.637389693271828,No
CUST-00030,Female,78,43,79.65,3429.02,One year,Fiber optic,Electronic check,2,202.8317990180034,No
CUST-00031,Male,48,36,27.64,1009.36,Month-to-month,No,Bank transfer,4,126.26635442991557,Yes
CUST-00032,Male,72,2,24.26,55.01,Month-to-month,No,Bank transfer,1,187.26988997863901,No
CUST-00033,Female,33,51,78.63,4010.13,Two year,Fiber optic,Electronic check,2,185.03098638508126,No
CUST-00034,Female,67,40,22.79,913.15,Two year,No,Bank transfer,0,148.3898438708913,No
CUST-00035,Female,49,18,20.45,365.27,Two year,No,Electronic check,0,104.66875525061053,No
CUST-00036,Male,39,32,22.27,720.55,Month-to-month,No,Electronic check,3,109.98683733846326,Yes
CUST-00037,Female,46,1,80.78,87.07,Two year,Fiber optic,Electronic check,1,131.18560940242486,No
CUST-00038,Male,39,4,107.68,434.57,Month-to-month,Fiber optic,Mailed check,1,52.444127887317634,Yes
CUST-00039,Male,60,61,45.87,2832.6,Two year,DSL,Mailed check,5,155.3663083632667,No
CUST-00040,Male,20,2,69.12,143.94,Month-to-month,DSL,Electronic check,2,107.65352091789558,Yes
CUST-00041,Male,71,8,90.01,738.54,Month-to-month,Fiber optic,Electronic check,2,122.22015324635977,Yes
CUST-00042,Male,27,41,49.46,2018.1,Month-to-month,DSL,Credit card,0,137.64546169284824,No
CUST-00043,Female,59,10,91.16,911.76,Two year,Fiber optic,Credit card,0,195.01693921729844,No
CUST-00044,Female,79,60,74.56,4441.49,Two year,Fiber optic,Mailed check,2,224.29266381879194,No
CUST-00045,Female,38,69,23.05,1591.79,Month-to-month,No,Electronic check,0,232.36511303797727,No
CUST-00046,Female,33,44,21.6,941.21,One year,No,Electronic check,1,174.6378435337564,No
CUST-00047,Female,29,51,44.11,2239.01,Two year,DSL,Credit card,2,126.61859730553542,No
CUST-00048,Male,19,53,107.19,5684.29,Month-to-month,Fiber optic,Electronic check,3,71.52971826766054,Yes
CUST-00049,Female,58,48,77.02,3690.92,Two year,Fiber optic,Electronic check,3,296.4531261437019,No
CUST-00050,Female,41,10,43.24,409.25,Two year,DSL,Mailed check,4,256.8571566655866,No
CUST-00051,Male,52,65,58.63,3807.89,Month-to-month,DSL,Bank transfer,1,203.51754447539724,No
CUST-00052,Female,73,8,23.19,238.72,Month-to-month,No,Mailed check,3,189.48380207210292,No
CUST-00053,Male,47,68,59.8,4072.73,Month-to-month,DSL,Electronic check,0,128.7600905268911,No
CUST-00054,Female,74,68,23.09,1574.3,Month-to-month,No,Bank transfer,0,157.82751132689924,No
CUST-00055,Male,47,37,24.61,893.6,Month-to-month,No,Bank transfer,1,205.23770357948678,No
CUST-00056,Female,64,24,88.77,2111.85,One year,Fiber optic,Bank transfer,4,36.54672108003663,Yes
CUST-00057,Female,52,3,25.86,63.54,One year,No,Electronic check,1,113.26997353922565,Yes
CUST-00058,Male,36,70,109.42,7663.6,Month-to-month,Fiber optic,Bank transfer,1,150.63498143795817,Yes
CUST-00059,Male,67,2,22.81,27.31,One year,No,Mailed check,6,34.61253603870615,Yes
CUST-00060,Male,25,2,21.95,65.34,One year,No,Mailed check,0,60.74918597563368,No
CUST-00061,Male,43,6,46.73,262.95,Two year,DSL,Mailed check,0,110.50776051963041,No
CUST-00062,Male,66,48,101.03,4861.55,Month-to-month,Fiber optic,Electronic check,2,155.16037878349647,Yes
CUST-00063,Male,57,10,83.96,843.61,One year,Fiber optic,Electronic check,2,240.61862511000842,Yes
CUST-00064,Male,24,27,46.5,1278.06,Two year,DSL,Electronic check,2,123.168832990754,Yes
CUST-00065,Male,47,9,24.5,204.08,Month-to-month,No,Electronic check,0,262.8677375826392,Yes
CUST-00066,Female,24,48,99.83,4837.86,Month-to-month,Fiber optic,Mailed check,0,106.36375944731267,Yes
CUST-00067,Female,20,22,101.27,2230.79,Month-to-month,Fiber optic,Bank transfer,0,142.4541539639108,Yes
CUST-00068,Male,18,24,50.91,1239.8,Two year,DSL,Electronic check,1,61.14092263536595,No
CUST-00069,Female,53,2,107.38,220.65,Month-to-month,Fiber optic,Credit card,1,123.84559509337572,Yes
CUST-00070,Female,42,67,20.87,1382.36,Two year,No,Electronic check,0,35.81452795211018,No
CUST-00071,Female,54,51,91.16,4637.63,Two year,Fiber optic,Electronic check,3,350.0,No
CUST-00072,Female,18,46,105.26,4842.34,Month-to-month,Fiber optic,Electronic check,0,87.29586190837372,No
CUST-00073,Male,32,4,89.6,346.82,One year,Fiber optic,Bank transfer,1,171.54061534586805,Yes
CUST-00074,Female,54,12,59.59,717.31,Month-to-month,DSL,Bank transfer,0,121.38224072733735,Yes
CUST-00075,Male,30,10,107.28,1086.03,Month-to-month,Fiber optic,Credit card,2,135.88693043572582,Yes
CUST-00076,Female,57,34,52.9,1817.82,One year,DSL,Electronic check,1,145.41369716587647,Yes
CUST-00077,Female,25,1,55.83,80.88,One year,DSL,Electronic check,2,206.9678684248076,No
CUST-00078,Female,22,51,62.53,3188.35,Month-to-month,DSL,Bank transfer,2,180.4911177975072,Yes
CUST-00079,Male,77,11,18.0,191.65,Two year,No,Bank transfer,3,164.50745018325762,No
CUST-00080,Female,26,4,22.01,62.05,Month-to-month,No,Credit card,1,184.78078252587517,Yes
CUST-00081,Male,80,42,64.36,,Month-to-month,DSL,Electronic check,2,172.26748046733493,Yes
CUST-00082,Female,18,9,62.23,,Month-to-month,DSL,Bank transfer,2,73.4306330538683,No
CUST-00083,Male,53,10,46.2,480.79,Month-to-month,DSL,Electronic check,3,135.10967674491565,Yes
CUST-00084,Female,52,59,18.0,1063.81,Two year,No,Mailed check,3,191.02832601144402,No
CUST-00085,Male,19,9,100.46,910.4,One year,Fiber optic,Electronic check,2,114.28620199960149,No
CUST-00086,Male,80,65,105.19,6822.03,Month-to-month,Fiber optic,Bank transfer,2,171.42822687735116,No
CUST-00087,Female,57,39,111.03,4323.47,Month-to-month,Fiber optic,Bank transfer,0,216.14395168221478,No
CUST-00088,Male,40,16,92.27,1493.86,Month-to-month,Fiber optic,Electronic check,0,,No
CUST-00089,Female,26,45,56.94,2568.94,Month-to-month,DSL,Electronic check,3,211.09479327100206,Yes
CUST-00090,Female,51,53,62.19,3289.1,One year,DSL,Electronic check,0,143.6449702901972,No
CUST-00091,Female,63,69,49.65,3435.89,Two year,DSL,Electronic check,1,154.39459808635422,No
CUST-00092,Female,31,10,80.54,807.23,Two year,Fiber optic,Electronic check,6,200.78738816361232,No
CUST-00093,Female,21,64,24.68,1595.79,Month-to-month,No,Electronic check,3,185.59603096000467,No
CUST-00094,Female,47,8,51.36,418.18,Month-to-month,DSL,Bank transfer,3,10.0,Yes
CUST-00095,Female,48,48,65.65,3146.28,Month-to-month,DSL,Electronic check,1,39.90743453125786,No
CUST-00096,Female,55,21,21.05,438.71,Month-to-month,No,Electronic check,2,181.9039198229543,Yes
CUST-00097,Female,28,6,63.28,359.11,Month-to-month,DSL,Credit card,2,141.53099363515472,Yes
CUST-00098,Female,52,3,60.42,156.98,Month-to-month,DSL,Electronic check,1,53.813282324182396,Yes
CUST-00099,Female,25,10,25.59,249.25,Month-to-month,No,Bank transfer,0,110.4448133623049,No
CUST-00100,Male,20,4,85.75,363.3,One year,Fiber optic,Mailed check,0,48.23733445496205,Yes
CUST-00101,Male,31,27,100.51,2720.19,One year,Fiber optic,Credit card,4,143.6771018108543,No
CUST-00102,Female,77,36,95.37,3428.94,Month-to-month,Fiber optic,Electronic check,2,225.49508396475778,Yes
CUST-00103,Female,30,45,79.85,3603.16,Two year,Fiber optic,Bank transfer,2,107.1029650751951,No
CUST-00104,Female,62,14,60.07,857.72,Month-to-month,DSL,Electronic check,0,164.7435654839023,No
CUST-00105,Female,49,64,97.35,6221.26,Month-to-month,Fiber optic,Credit card,2,143.73440066873977,No
CUST-00106,Female,51,3,82.6,238.73,Two year,Fiber optic,Electronic check,2,246.06969488961693,No
CUST-00107,Female,62,68,26.44,1845.79,Month-to-month,No,Mailed check,1,226.0930155970574,No
CUST-00108,Female,78,9,19.82,165.0,Two year,No,Electronic check,3,54.66387855942092,No
CUST-00109,Female,36,40,105.03,4192.92,Month-to-month,Fiber optic,Credit card,0,138.5163910437672,No
CUST-00110,Male,76,56,94.62,5293.36,One year,Fiber optic,Bank transfer,1,96.8538616417218,No
CUST-00111,Female,55,10,55.79,542.92,One year,DSL,Electronic check,0,113.945188325889,No
CUST-00112,Male,33,63,60.78,3800.24,One year,DSL,Electronic check,4,197.1221459417727,Yes
CUST-00113,Female,19,10,90.35,904.86,Two year,Fiber optic,Electronic check,1,161.58604542548207,No
CUST-00114,Female,57,10,87.13,861.88,One year,Fiber optic,Electronic check,1,196.29071808370753,Yes
CUST-00115,Male,34,11,78.08,865.54,Two year,Fiber optic,Electronic check,1,12.527844704178023,No
CUST-00116,Female,72,3,105.54,304.09,Month-to-month,Fiber optic,Credit card,1,205.82666772965797,Yes
CUST-00117,Male,51,65,24.87,1635.42,Month-to-month,No,Bank transfer,2,175.68519656528596,No
CUST-00118,Female,59,1,92.24,92.24,One year,Fiber optic,Credit card,1,246.41738602546468,No
CUST-00119,Female,77,7,81.56,558.31,One year,Fiber optic,Mailed check,2,113.35122121961314,Yes
CUST-00120,Male,33,60,46.91,2804.36,Two year,DSL,Bank transfer,2,214.56655436637152,No
CUST-00121,Female,55,4,100.66,398.86,Month-to-month,Fiber optic,Mailed check,1,167.52324348473638,Yes
CUST-00122,Male,77,13,23.17,321.75,Month-to-month,No,Electronic check,1,157.98287597222554,Yes
CUST-00123,Female,19,51,46.56,2365.81,One year,DSL,Mailed check,0,120.726974927128,No
CUST-00124,Male,19,42,88.17,3678.98,Two year,Fiber optic,Mailed check,2,144.324330345636,No
CUST-00125,Male,43,58,18.0,1070.12,Two year,No,Credit card,0,91.24173272300989,No
CUST-00126,Female,30,62,112.49,6947.32,Month-to-month,Fiber optic,Mailed check,1,126.13515596524414,No
CUST-00127,Female,73,66,109.04,7231.93,Month-to-month,Fiber optic,Credit card,1,114.5540059799507,No
CUST-00128,Male,64,71,61.54,4341.72,Month-to-month,DSL,Bank transfer,1,132.82975798301072,No
CUST-00129,Female,48,9,103.61,926.6,Month-to-month,Fiber optic,Mailed check,4,139.09612143513658,Yes
CUST-00130,Female,77,26,84.78,2197.72,Two year,Fiber optic,Mailed check,0,140.60053849822697,No
CUST-00131,Female,51,27,57.92,1576.99,Month-to-month,DSL,Electronic check,1,149.5301988700844,No
CUST-00132,Male,56,55,97.03,5347.13,Month-to-month,Fiber optic,Electronic check,3,,No
CUST-00133,Male,20,14,59.03,855.64,Month-to-month,DSL,Bank transfer,4,156.483988700505,Yes
CUST-00134,Male,25,33,102.76,3368.29,Month-to-month,Fiber optic,Credit card,0,148.19950058505867,No
CUST-00135,Male,40,61,18.93,1128.84,Two year,No,Electronic check,0,133.77158352818242,No
CUST-00136,Male,31,60,95.94,5772.15,Month-to-month,Fiber optic,Credit card,0,175.81544859262107,No
CUST-00137,Male,73,5,116.02,614.2,Month-to-month,Fiber optic,Electronic check,4,222.74327782830045,Yes
CUST-00138,Male,79,42,81.99,3461.89,Two year,Fiber optic,Mailed check,1,129.86390665432188,No
CUST-00139,Male,72,69,54.19,3750.16,Month-to-month,DSL,Electronic check,1,117.90010340107911,No
CUST-00140,Male,44,64,24.04,1556.37,One year,No,Electronic check,1,172.59366224590462,No
CUST-00141,Female,71,7,58.59,389.91,Month-to-month,DSL,Electronic check,2,156.4663914781399,Yes
CUST-00142,Male,46,48,51.28,2457.95,One year,DSL,Electronic check,1,91.98907542655215,No
CUST-00143,Female,56,28,119.53,3347.34,Month-to-month,Fiber optic,Electronic check,2,104.92490875073052,Yes
CUST-00144,Female,70,24,100.6,2412.85,Month-to-month,Fiber optic,Electronic check,1,114.32503011088203,No
CUST-00145,Female,56,56,93.58,5248.42,Month-to-month,Fiber optic,Electronic check,1,87.79268493740075,Yes
CUST-00146,Male,18,4,57.09,227.98,Month-to-month,DSL,Electronic check,0,176.29823802470756,Yes
CUST-00147,Male,34,4,25.3,94.53,Month-to-month,No,Electronic check,0,195.88450708352164,No
CUST-00148,Male,58,55,101.13,5544.88,Month-to-month,Fiber optic,Mailed check,0,101.31173281583466,No
CUST-00149,Male,47,5,56.1,278.34,One year,DSL,Credit card,1,68.37346039963839,Yes
CUST-00150,Female,70,2,69.06,118.68,Two year,Fiber optic,Electronic check,3,160.36037317612085,Yes
CUST-00151,Male,30,66,54.42,3590.31,Month-to-month,DSL,Electronic check,2,151.84925526311238,Yes
CUST-00152,Male,38,53,98.5,5225.38,Month-to-month,Fiber optic,Bank transfer,1,288.1113506355571,No
CUST-00153,Male,36,7,76.59,526.22,Two year,Fiber optic,Electronic check,2,190.05088717642266,No
CUST-00154,Male,70,21,82.24,1738.24,One year,Fiber optic,Bank transfer,1,82.36384193588331,Yes
CUST-00155,Male,36,11,61.85,695.79,Month-to-month,DSL,Electronic check,2,92.9016915047844,Yes
CUST-00156,Female,74,62,62.28,3853.84,Month-to-month,DSL,Electronic check,2,168.9212550801812,Yes
CUST-00157,Male,42,12,68.6,817.47,Month-to-month,DSL,Electronic check,1,146.71152403684903,Yes
CUST-00158,Female,39,50,63.52,3187.01,Month-to-month,DSL,Electronic check,2,143.3758579168071,No
CUST-00159,Male,48,41,49.92,2031.58,Two year,DSL,Bank transfer,1,154.01280247415943,No
CUST-00160,Female,34,9,47.31,409.17,Two year,DSL,Electronic check,2,196.52113680165866,No
CUST-00161,Male,72,10,66.22,656.91,One year,DSL,Credit card,1,261.24441203732215,No
CUST-00162,Male,40,4,97.32,389.01,Month-to-month,Fiber optic,Electronic check,1,229.76578961667906,Yes
CUST-00163,Female,49,49,97.26,4757.5,Month-to-month,Fiber optic,Credit card,1,89.12980399997821,Yes
CUST-00164,Female,79,30,51.87,1564.68,Two year,DSL,Electronic check,1,117.92462852981785,No
CUST-00165,Female,27,44,87.19,3815.94,Month-to-month,Fiber optic,Electronic check,1,10.0,Yes
CUST-00166,Male,27,8,59.6,483.55,Month-to-month,DSL,Mailed check,0,162.65649679120366,Yes
CUST-00167,Female,53,40,100.82,,Month-to-month,Fiber optic,Electronic check,0,118.49496781453301,Yes
CUST-00168,Male,25,47,87.09,4117.06,One year,Fiber optic,Credit card,4,148.83611516209015,No
CUST-00169,Male,71,21,65.25,1383.93,Month-to-month,DSL,Mailed check,1,100.62706721060334,Yes
CUST-00170,Female,69,68,62.47,4249.85,Month-to-month,DSL,Bank transfer,1,99.99082852506379,No
CUST-00171,Female,37,69,49.18,3392.8,Two year,DSL,Electronic check,0,57.57802376041967,No
CUST-00172,Male,49,39,90.48,3520.99,One year,Fiber optic,Bank transfer,2,130.84748908750052,No
CUST-00173,Male,67,67,24.28,1586.76,Month-to-month,No,Mailed check,1,184.13593417335917,No
CUST-00174,Female,31,63,44.65,2814.61,One year,DSL,Bank transfer,2,109.5627445889907,No
CUST-00175,Female,67,65,104.34,6799.14,Month-to-month,Fiber optic,Electronic check,1,189.09826650033142,Yes
CUST-00176,Female,45,16,64.8,1022.65,Month-to-month,DSL,Credit card,0,108.52181322056819,Yes
CUST-00177,Male,63,2,53.97,95.59,One year,DSL,Credit card,2,150.04122952825443,No
CUST-00178,Male,69,9,52.52,474.24,Month-to-month,DSL,Credit card,4,231.33385355364203,Yes
CUST-00179,Male,70,1,24.01,24.01,Month-to-month,No,Mailed check,1,120.7290613658788,Yes
CUST-00180,Male,41,14,86.57,1201.02,One year,Fiber optic,Mailed check,1,163.5047510238426,Yes
CUST-00181,Male,32,46,19.27,879.8,Two year,No,Electronic check,2,165.5828278413766,No
CUST-00182,Male,39,3,104.0,313.86,Month-to-month,Fiber optic,Credit card,2,166.36962814951923,Yes
CUST-00183,Female,47,56,53.45,3024.13,Month-to-month,DSL,Credit card,3,181.8104397365701,No
CUST-00184,Male,80,66,98.45,6496.98,Month-to-month,Fiber optic,Electronic check,1,164.77733741648288,Yes
CUST-00185,Male,21,2,24.68,55.09,Month-to-month,No,Electronic check,1,88.38138111582398,No
CUST-00186,Male,30,7,28.02,195.01,Month-to-month,No,Credit card,0,125.19188928550287,No
CUST-00187,Female,76,17,103.17,1758.38,Month-to-month,Fiber optic,Electronic check,7,184.53738790226353,Yes
CUST-00188,Male,40,1,52.02,54.29,One year,DSL,Electronic check,0,192.27687236393328,No
CUST-00189,Male,25,28,66.95,1889.1,Month-to-month,DSL,Credit card,0,105.42925414060764,No
CUST-00190,Female,35,30,53.97,1644.4,Month-to-month,DSL,Credit card,2,208.35497801627622,No
CUST-00191,Male,29,18,94.63,1701.1,Month-to-month,Fiber optic,Credit card,1,121.36621912825193,No
CUST-00192,Male,72,53,21.36,,Month-to-month,No,Electronic check,0,169.95450261503547,No
CUST-00193,Male,48,31,90.12,2829.3,Two year,Fiber optic,Electronic check,1,161.71159246238346,No
CUST-00194,Male,31,38,25.43,991.89,Month-to-month,No,Bank transfer,0,95.21607503413398,No
CUST-00195,Male,51,4,47.16,193.91,Two year,DSL,Mailed check,1,133.5440394685247,No
CUST-00196,Female,35,16,87.93,1425.77,Two year,Fiber optic,Electronic check,0,27.369765341602317,No
CUST-00197,Female,73,64,19.07,1244.94,Two year,No,Credit card,2,126.38207528869887,No
CUST-00198,Female,51,18,96.42,1732.31,Month-to-month,Fiber optic,Credit card,2,224.01737404424435,No
CUST-00199,Male,80,47,87.0,4103.69,Two year,Fiber optic,Electronic check,3,35.707337264858836,No
CUST-00200,Male,28,4,95.38,384.23,Month-to-month,Fiber optic,Electronic check,1,97.86967630191029,Yes
CUST-00201,Male,58,16,96.11,1540.91,Month-to-month,Fiber optic,Electronic check,2,122.31662105681335,No
CUST-00202,Female,29,4,25.13,112.76,Month-to-month,No,Mailed check,1,21.90400015151775,Yes
CUST-00203,Male,66,20,102.73,2081.12,Month-to-month,Fiber optic,Electronic check,2,29.456574157993046,Yes
CUST-00204,Male,32,8,63.68,517.92,Month-to-month,DSL,Mailed check,3,273.6129972855054,Yes
CUST-00205,Female,74,29,98.3,2864.92,Month-to-month,Fiber optic,Mailed check,0,185.21256509257427,No
CUST-00206,Male,48,3,51.62,168.97,Month-to-month,DSL,Credit card,1,209.97454930730785,No
CUST-00207,Female,66,28,92.55,,One year,Fiber optic,Electronic check,2,171.01706077232566,No
CUST-00208,Female,75,22,61.02,1351.7,Month-to-month,DSL,Mailed check,1,184.7741953147882,Yes
CUST-00209,Female,46,1,25.35,29.46,Month-to-month,No,Bank transfer,1,130.897702874454,Yes
CUST-00210,Male,43,43,18.79,803.42,Two year,No,Mailed check,0,212.57222990763591,No
CUST-00211,Male,35,26,50.61,1326.34,Month-to-month,DSL,Credit card,0,236.04013095975756,No
CUST-00212,Male,49,3,53.86,156.43,One year,DSL,Bank transfer,2,109.41048845322338,Yes
CUST-00213,Male,39,30,73.94,2220.27,Two year,Fiber optic,Credit card,1,135.12946613224497,No
CUST-00214,Male,55,4,104.46,403.03,Month-to-month,Fiber optic,Electronic check,3,115.18347716494628,Yes
CUST-00215,Male,34,1,63.74,96.16,Month-to-month,DSL,Mailed check,3,144.86826283987256,Yes
CUST-00216,Male,40,21,41.84,862.87,Two year,DSL,Mailed check,1,194.45117471611087,No
CUST-00217,Female,41,11,75.51,839.7,Two year,Fiber optic,Credit card,1,139.27389691663024,No
CUST-00218,Male,67,7,102.27,704.88,One year,Fiber optic,Electronic check,1,45.18786088290133,Yes
CUST-00219,Female,25,29,57.78,1655.68,Month-to-month,DSL,Electronic check,2,208.18402925680903,No
CUST-00220,Male,58,43,81.26,3502.08,Two year,Fiber optic,Bank transfer,2,104.14647220847205,No
CUST-00221,Male,23,29,26.76,799.33,Month-to-month,No,Electronic check,0,174.35541787244492,No
CUST-00222,Male,22,60,61.11,3655.81,Month-to-month,DSL,Bank transfer,1,180.2100981723325,No
CUST-00223,Female,61,55,108.72,5989.22,Month-to-month,Fiber optic,Credit card,2,124.34005227587416,No
CUST-00224,Female,74,42,64.68,2744.39,Month-to-month,DSL,Credit card,4,95.06966886566141,Yes
CUST-00225,Female,46,18,53.32,994.97,Two year,DSL,Electronic check,0,121.30630969219337,Yes
CUST-00226,Female,45,6,48.69,288.81,Two year,DSL,Electronic check,0,245.79544203101312,Yes
CUST-00227,Male,28,9,87.1,784.14,One year,Fiber optic,Mailed check,2,93.07633755757024,Yes
CUST-00228,Female,74,57,22.37,1277.82,Month-to-month,No,Mailed check,4,83.93636784267366,Yes
CUST-00229,Male,18,3,93.02,290.94,One year,Fiber optic,Bank transfer,1,161.4438429986178,Yes
CUST-00230,Male,60,16,59.61,952.14,One year,DSL,Bank transfer,4,137.21751074289162,Yes
CUST-00231,Female,36,41,56.3,2319.09,Month-to-month,DSL,Bank transfer,5,125.40576237585239,No
CUST-00232,Female,26,31,75.97,2355.23,Two year,Fiber optic,Electronic check,4,95.83619050759452,No
CUST-00233,Female,44,2,46.56,82.84,Two year,DSL,Bank transfer,0,148.74972242333212,No
CUST-00234,Female,51,33,49.94,1655.77,One year,DSL,Electronic check,0,140.3142531641878,No
CUST-00235,Female,61,4,101.19,397.18,Month-to-month,Fiber optic,Electronic check,1,230.21251098569587,Yes
CUST-00236,Female,21,7,21.59,137.28,One year,No,Bank transfer,1,96.84297485867603,No
CUST-00237,Female,53,8,43.24,347.02,Two year,DSL,Mailed check,1,120.8146705302627,No
CUST-00238,Female,35,7,93.37,642.4,Month-to-month,Fiber optic,Bank transfer,1,227.0594228691383,No
CUST-00239,Male,32,10,53.77,533.36,Two year,DSL,Electronic check,1,118.95047588172298,No
CUST-00240,Female,68,2,100.9,217.42,Month-to-month,Fiber optic,Electronic check,0,106.69689308154925,Yes
CUST-00241,Female,30,7,100.44,695.17,One year,Fiber optic,Electronic check,1,176.8031388058506,No
CUST-00242,Male,36,21,21.53,435.07,One year,No,Bank transfer,4,159.50769431627953,No
CUST-00243,Female,66,55,79.57,4386.14,One year,Fiber optic,Electronic check,1,131.44651060205868,No
CUST-00244,Male,23,15,78.25,1191.21,Two year,Fiber optic,Bank transfer,0,154.53452719482286,No
CUST-00245,Male,65,52,68.22,3541.87,Month-to-month,DSL,Bank transfer,2,178.46651693798304,No
CUST-00246,Female,73,71,48.38,3456.16,Month-to-month,DSL,Mailed check,2,159.64677744763992,Yes
CUST-00247,Male,29,7,77.45,551.71,One year,Fiber optic,Credit card,0,184.61893839306154,No
CUST-00248,Male,68,17,24.41,437.59,Month-to-month,No,Credit card,2,138.71264216161006,No
CUST-00249,Male,54,56,108.45,6059.88,Month-to-month,Fiber optic,Credit card,3,88.21436724770558,No
CUST-00250,Male,34,45,91.67,4099.06,Month-to-month,Fiber optic,Bank transfer,1,183.9879427561638,No
CUST-00251,Female,75,25,60.86,1530.32,Month-to-month,DSL,Electronic check,0,,Yes
CUST-00252,Male,40,48,89.58,4300.64,One year,Fiber optic,Mailed check,3,132.18204111507956,No
CUST-00253,Female,43,14,59.38,835.72,One year,DSL,Bank transfer,1,194.76104026434973,No
CUST-00254,Male,46,33,71.57,2369.07,Month-to-month,DSL,Electronic check,2,249.6131710328275,No
CUST-00255,Male,50,14,93.7,1335.9,Month-to-month,Fiber optic,Bank transfer,2,49.186043537580304,No
CUST-00256,Male,77,1,97.15,97.15,Month-to-month,Fiber optic,Mailed check,2,131.06098436959928,Yes
CUST-00257,Male,44,67,99.46,6690.02,Month-to-month,Fiber optic,Electronic check,0,145.3915126415525,No
CUST-00258,Female,42,21,93.45,1955.62,Month-to-month,Fiber optic,Mailed check,2,156.556077653221,No
CUST-00259,Female,73,1,114.17,122.24,Month-to-month,Fiber optic,Electronic check,4,139.0705298931106,Yes
CUST-00260,Male,72,3,48.98,153.53,One year,DSL,Electronic check,0,144.68621478166892,No
CUST-00261,Male,27,21,99.05,2068.91,One year,Fiber optic,Credit card,3,172.01805978174215,Yes
CUST-00262,Female,64,3,57.86,181.05,Month-to-month,DSL,Mailed check,2,138.30236919478864,Yes
CUST-00263,Male,40,6,53.72,308.02,One year,DSL,Mailed check,1,,No
CUST-00264,Male,38,70,48.49,3365.56,Two year,DSL,Electronic check,4,116.27273556504556,No
CUST-00265,Male,38,15,57.59,878.95,Month-to-month,DSL,Mailed check,0,229.69176456647008,No
CUST-00266,Female,60,8,106.23,865.78,Month-to-month,Fiber optic,Electronic check,3,268.9986523128073,Yes
CUST-00267,Female,30,46,23.27,1049.29,One year,No,Bank transfer,2,129.70809723768062,Yes
CUST-00268,Female,54,9,67.66,605.43,Month-to-month,DSL,Credit card,0,130.98134401232934,No
CUST-00269,Male,50,15,56.87,836.77,One year,DSL,Credit card,4,173.5164334397371,Yes
